Name,Age,Occupation,Hometown,Height,ElimWeek,Season
"August 4 – September 8, 2014",Marcus Grodd & Lacy Faddoul,Yes,No,Grodd and Faddoul got engaged in the finale and had a wedding ceremony in June 2015 on the season 2 premiere. They ended their relationship in June 2016 and revealed that they were never legally a married couple.[8],Unknown,Unknown
Cody Sattler & Michelle Money,No,No,"Sattler and Money began a relationship and split up in December 2014, but they later got back together in June 2015. The two later broke up again after appearing on the seventh season of Marriage Boot Camp.",Unknown,Unknown,Unknown
"August 2 – September 7, 2015",Tanner Tolbert & Jade Roper,Yes,Yes,"Tolbert and Roper were married on January 24, 2016, with their wedding airing on ABC as a special edition of The Bachelor: A Celebration of Love.[9] The couple later appeared on the eighth season of Marriage Boot Camp.  They live in Trabuco Canyon, California, with their three children; Emerson (born August 17, 2017), Brooks (born July 29, 2019), and Reed (born November 14, 2020).[10][11][12]",Unknown,Unknown
Justin Reich & Cassandra Ferguson,No,No,Reich and Ferguson revealed on After Paradise that they had broken up.,Unknown,Unknown,Unknown
Nick Peterson & Samantha Steffen,No,No,"Peterson and Steffan announced their breakup on October 9, 2015.[13]",Unknown,Unknown,Unknown
"August 2 – September 6, 2016",Evan Bass & Carly Waddell,Yes,No,"Bass and Waddell were married on June 17, 2017, in Mexico, and their wedding aired during season 4.[14] They have a daughter Isabella (born February 15, 2018), and a son Charles (born November 13, 2019).[15][16] However, they announced their separation on December 23, 2020.[17]",Unknown,Unknown
Grant Kemp & Lace Morris,Yes,No,"Kemp and Morris announced their breakup on November 29, 2016.[18]",Unknown,Unknown,Unknown
Josh Murray & Amanda Stanton,Yes,No,"Murray and Stanton announced their breakup on January 3, 2017.[19]",Unknown,Unknown,Unknown
"August 14 – September 11, 2017",Derek Peth & Taylor Nolan,Yes[b],No,"Peth and Nolan announced their breakup on June 26, 2018.[20]",Unknown,Unknown
Adam Gottschalk & Raven Gates,No,Yes,"Gottschalk and Gates left Paradise in a relationship.[21] They got engaged on May 31, 2019, and were married on April 16, 2021.[22][23] They live in Dallas, Texas, with their two sons, Gates (born January 18, 2022), and Max (born July 23, 2023).[24][25]",Unknown,Unknown,Unknown
Daniel Maguire & Lacey Mark,No,No,"Maguire and Mark left Paradise in a relationship, but at the reunion it was revealed that they had since broken up.[26]",Unknown,Unknown,Unknown
"August 7 – September 11, 2018",Chris Randone & Krystal Nielson,Yes,No,"Randone and Nielson were married on June 16, 2019, in Mexico, and their wedding aired during season 6.[27] They announced their separation in February 2020 and filed for divorce in August of that year.[28] Their divorce was finalized on December 22, 2020.[29]",Unknown,Unknown
Jordan Kimball & Jenna Cooper,Yes,No,"While filming the reunion, Kimball and Cooper announced their wedding was set for June 9, 2019, but a day before the reunion aired, it was announced that Kimball had broken up with Cooper after he discovered that she was allegedly cheating on him the whole time.[30]  It was later revealed that all of the evidence alleging that Cooper had cheated was fabricated.[31]",Unknown,Unknown,Unknown
Kamil Nicalek & Annaliese Puccini,No,No,"Nicalek and Puccini left Paradise in a relationship, but at the reunion he broke up with her onstage.[30]",Unknown,Unknown,Unknown
Joe Amabile & Kendall Long,No,No,"Although they initially split during the show, it was revealed at the reunion that Amabile and Long had gotten back together. However, they announced their breakup on January 29, 2020.[32]",Unknown,Unknown,Unknown
Kevin Wendt & Astrid Loch,No,Yes,"Although they initially split during the show, it was revealed at the reunion that Wendt and Loch had gotten back together. They got engaged on August 28, 2019, and they married on October 28, 2022.[33] They live in Toronto, Ontario, with their two sons, August (born November 20, 2021), and Nash (born October 7, 2023).[34][35]",Unknown,Unknown,Unknown
