Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Marcus Grodd,25,Sports Medicine Manager,"Dallas, Texas",The Bachelorette – Andi,Week 1,Engaged
Lacy Faddoul,26,Nursing Home Owner,"La Jolla, California",The Bachelor – Juan Pablo,Week 1,Unknown
Cody Sattler,28,Personal Trainer,"Chicago, Illinois",The Bachelorette – Andi,Week 4,Relationship
Michelle Money,33,Hairstylist,"Salt Lake City, Utah",The Bachelor – BradBachelor Pad – Season 2,Week 1,Unknown
Robert Graham,31,Advertising Entrepreneur,"Los Angeles, California",The Bachelorette – Desiree,Week 1,Split Week 7
Sarah Herron,27,Art Director,"Marina del Rey, California",The Bachelor – Sean,Week 1,Unknown
Zack Kalter,29,Book Publisher,"Los Angeles, California",The Bachelorette – Desiree,Week 2,Split Week 7
Jackie Parr,26,Cosmetics Consultant,"Boca Raton, Florida",The Bachelor – Sean,Week 3,Unknown
Tasos Hernandez,30,Wedding Event Coordinator,"Denver, Colorado",The Bachelorette – Andi,Week 6,Split Week 7
Christy Hansen,25,Hairstylist,"Chicago, Illinois",The Bachelor – Juan Pablo,Week 5,Unknown
Graham Bunn,35,Entrepreneur,"New York City, New York",The Bachelorette – DeAnnaBachelor Pad – Season 2,Week 1,Split Week 7
AshLee Frazier,33,Personal Organizer,"Houston, Texas",The Bachelor – Sean,Week 1,Unknown
Brooks Forester,29,Entrepreneur,"Salt Lake City, Utah",The Bachelorette – Desiree,Week 6,Week 6
Jesse Kovacs,32,Winemaker,"San Diego, California",The Bachelorette – JillianBachelor Pad – Season 1,Week 4,Week 6 (Quit)
Lucy Aragon,25,Free Spirit,"Santa Barbara, California",The Bachelor – Juan Pablo,Week 5,Week 5
Clare Crawley,33,Hairstylist,"Sacramento, California",The Bachelor – Juan Pablo,Week 1,Week 5 (Quit)
Kalon McMahon,29,Entrepreneur,"Houston, Texas",The Bachelorette – EmilyBachelor Pad – Season 3,Week 4,Week 4
Marquel Martin,27,Sponsorship Salesman,"Las Vegas, Nevada",The Bachelorette – Andi,Week 1,Week 4
Danielle Ronco,26,Psychiatric Nurse,"St. Louis, Missouri",The Bachelor – Juan Pablo,Week 3,Week 3
Elise Mosca,28,Bartender,"Los Angeles, California",The Bachelor – Juan Pablo,Week 1,Week 3 (Quit)
Chris Bukowski,27,Entrepreneur,"Washington, D.C.",The Bachelorette – EmilyBachelor Pad – Season 3,Week 2,Week 3 (Quit)
Dylan Petitt,26,Accountant,"Boston, Massachusetts",The Bachelorette – Andi,Week 1,Week 2
Ben Scott,30,Sales Representative,"Dallas, Texas",The Bachelorette – Desiree,Week 1,Week 2 (Quit)
Daniella McBride,26,Commercial Casting Associate,"San Francisco, California",The Bachelor – Sean,Week 1,Week 1
Michelle Kujawa,30,Sales,"Anaheim, California",The Bachelor – JakeBachelor Pad – Season 1,Week 1,Week 1 (Quit)
1-4,Marcus,Date,Date,In,Date,In
Lacy,Date,Date,In,Date,In,Date
Cody,Wait,In,Date,In,In,Relationship
Michelle M.,Date,In,Last,In,Date,In
5-6,Robert,Date,Last,In,Date,Date
Sarah,Last,Date,In,Date,Date,In
7-12,Zack,Wait,Date,In,In,In
Jackie,Wait,Date,Date,In,Date,Split
Tasos,Wait,Date,Split,,Unknown,Unknown
Christy,Wait,Last,Date,Split,,Unknown
Graham,In,In,Date,In,Date,In
AshLee,In,In,Date,In,Date,In
13,Brooks,Wait,Out,,Unknown,Unknown
14,Jesse,Wait,Last,Date,Quit,
15,Lucy,Wait,Out,,Unknown,Unknown
16,Clare,Date,Date,In,In,Quit
17-18,Kalon,Wait,Out,,Unknown,Unknown
Marquel,Date,In,Date,Out,,Unknown
19,Danielle,Wait,Out,,Unknown,Unknown
20-21,Elise,In,In,Quit,,Unknown
Chris,Wait,Date,Quit,,Unknown,Unknown
22,Dylan,In,Out,,Unknown,Unknown
23,Ben,In,Quit,,Unknown,Unknown
24,Daniella,Out,,Unknown,Unknown,Unknown
25,Michelle K.,Quit,,Unknown,Unknown,Unknown
1,"""Week 1: Series Premiere""","August 4, 2014 (2014-08-04)",101,5.31[11],1.4/5[11],Unknown
